YEAR,WORK_GU,TOTAL_PEOPLE,RATE_UNDER 20s,RATE_20s-30s,RATE_40s-50s,RATE_60s-70s,RATE_OVER 80s,RATE_20M_Won,RATE_30M_Won,RATE_40M_Won,RATE_50M_Won,RATE_60M_Won,RATE_70M_Won,RATE_OVER_70M_Won,APT_PRICE_INDEX,APT_NUM,APT_RATE,NUM_INSU,INSU_MONEY,FOOD_TRASH,BIRTH_RATE,TOTAL_OIL,GASOLINE,KEROSENE,DIESEL,LPG,OTHER_OIL,TOTAL_GASUSE,GASUSE_HOME,GASUSE_COMMON,GASUSE_WORK,GASUSE_IND,GASUSE_HEAT,GASUSE_TRF,NUM_HYDCAR,TOTAL_ALONE,ALONE_65-79,ALONE_OVER_80,TOTAL_ALONE_BASIC,ALONE_BASIC_65-79,ALONE_BASIC_OVER_80,TOTAL_ALONE_LOW,ALONE_LOW_65-79,ALONE_LOW_OVER_80,TOTAL_ALONE_COMM,ALONE_COMM_65-79,ALONE_COMM_OVER_80,TOTAL_HOUSE,NUM_DANDOK,NUM_COMDAN,NUM_MULTI,NUM_WITHSALES,NUM_TOWNH,NUM_DASEDE,NUM_NOLIVE,PEOPEL_DENS,TOTAL_SD,SD_1MEM,SD_2MEM,SD_3MEM,SD_4MEM,SD_5MEM,SD_6MEM,SD_7MEM,SD_8MEM,SD_9MEM,SD_10MEM,RATE_VAC_1ST,RATE_VAC_2ND,RATE_VAC_3RD,RATE_VAC_4TH,RATE_VAC_VER2,TOTAL_AVG_AGE,MEN_AVG_AGE,WOMEN_AVG_AGE,TOTAL_LIB,TOTAL_REC,RESTAURANTS,CATERING,FOOD_PROCESS,FOOD_TRANS_SALES,HEALTH_FUNCTION_SALES,TOTAL_ELEC,RESIDENTIAL,GENERAL,EDUCATIONAL,INDUSTRIAL,AGRICULTURAL,STREETLIGHT,NIGHTUSE,MANUFACTURING,RETAIL,TOTAL_MED
2021,동대문구,352006.0,12.34,33.07,29.33,21.37,3.9,0.16,0.4,0.22,0.1,0.05,0.03,0.05,94.3,91.0,92.85714285714286,9369930.0,504685468.0,90.8,0.66,868.0,281.0,18.0,259.0,309.0,0.0,137393.0,108594.0,17285.0,10601.0,867.0,46.0,0.0,29.0,17040.0,12803.0,4237.0,5271.0,3797.0,1474.0,493.0,281.0,212.0,11276.0,8725.0,2551.0,104287.0,16388.0,4083.0,9512.0,2793.0,3287.0,16569.0,1531.0,24762.0,169873.0,84547.0,35506.0,25446.0,18777.0,4363.0,933.0,217.0,57.0,19.0,8.0,84.73,84.01,62.01,14.07,13.97,44.5,43.8,45.2,8.0,8698.0,5740.0,190.0,912.0,687.0,1169.0,1457689.0,550487.0,626175.0,92253.0,173352.0,109.0,8771.0,6541.0,72.0,1308.0,1380.0
2021,동작구,394364.0,12.84,33.07,29.93,20.49,3.68,0.12,0.35,0.24,0.12,0.06,0.03,0.08,98.9,104.0,93.69369369369367,10276655.0,540676297.0,85.3,0.602,458.0,234.0,7.0,127.0,90.0,1.0,157680.0,125130.0,13020.0,15835.0,53.0,3642.0,0.0,51.0,14691.0,10982.0,3709.0,3741.0,2520.0,1221.0,421.0,199.0,222.0,10529.0,8263.0,2266.0,119534.0,14362.0,2522.0,9716.0,2124.0,5209.0,33669.0,1052.0,24113.0,185773.0,87277.0,39532.0,29818.0,22921.0,4868.0,1003.0,262.0,54.0,21.0,17.0,86.87,86.14,63.14,12.9,13.28,43.8,42.9,44.7,7.0,6357.0,4457.0,197.0,631.0,347.0,725.0,1298388.0,567415.0,575986.0,83349.0,57436.0,358.0,7320.0,6524.0,18.0,665.0,683.0
2021,마포구,378686.0,13.78,34.66,30.85,17.2,3.5,0.12,0.34,0.23,0.12,0.06,0.04,0.1,96.4,111.0,92.5,9507635.0,487663262.0,84.6,0.587,414.0,173.0,5.0,134.0,77.0,24.0,196963.0,105619.0,26150.0,17906.0,11.0,35488.0,11789.0,66.0,13329.0,9102.0,4227.0,3059.0,2009.0,1050.0,554.0,300.0,254.0,9716.0,6793.0,2923.0,126005.0,11171.0,2679.0,6095.0,2397.0,3127.0,36364.0,1507.0,15878.0,180084.0,86480.0,37984.0,28051.0,21749.0,4540.0,937.0,243.0,67.0,21.0,12.0,85.98,85.19,60.74,10.93,12.27,42.6,41.9,43.2,6.0,14145.0,10857.0,220.0,880.0,716.0,1472.0,2265953.0,631198.0,1359640.0,61185.0,185279.0,93.0,12216.0,16341.0,78.0,1425.0,1503.0
2021,서대문구,315659.0,13.42,31.8,30.32,20.17,4.28,0.14,0.38,0.22,0.11,0.05,0.03,0.07,93.9,74.0,94.87179487179486,8431117.0,445029059.0,63.5,0.635,683.0,268.0,2.0,139.0,273.0,1.0,131239.0,93505.0,15595.0,21437.0,159.0,543.0,0.0,48.0,13620.0,9651.0,3969.0,3478.0,2259.0,1219.0,801.0,466.0,335.0,9341.0,6926.0,2415.0,102024.0,12356.0,2652.0,7976.0,1728.0,5440.0,28094.0,903.0,17908.0,145797.0,65136.0,32118.0,24402.0,18818.0,4132.0,870.0,236.0,53.0,23.0,9.0,84.54,83.82,62.16,13.21,13.49,44.1,43.2,44.9,4.0,6766.0,5083.0,189.0,463.0,270.0,761.0,1297535.0,480846.0,581675.0,189085.0,32671.0,27.0,7193.0,6038.0,27.0,672.0,699.0
2021,서초구,416167.0,18.44,27.24,33.4,18.03,2.9,0.08,0.27,0.22,0.13,0.08,0.05,0.18,102.8,134.0,89.93288590604027,10272568.0,525508647.0,155.8,0.666,2141.0,980.0,11.0,626.0,155.0,370.0,202988.0,100013.0,42110.0,43058.0,74.0,2329.0,15404.0,135.0,10318.0,7784.0,2534.0,1899.0,1332.0,567.0,447.0,267.0,180.0,7972.0,6185.0,1787.0,135171.0,5326.0,831.0,3472.0,1023.0,5286.0,28062.0,1199.0,8858.0,167749.0,58808.0,35049.0,33100.0,31389.0,6993.0,1772.0,422.0,143.0,48.0,25.0,82.31,81.42,56.86,9.18,12.16,42.1,41.5,42.7,8.0,13143.0,8350.0,311.0,842.0,1153.0,2487.0,3291898.0,729401.0,2030784.0,53746.0,427704.0,6585.0,19869.0,23809.0,94.0,2063.0,2157.0
2021,성동구,292672.0,13.2,32.24,31.16,19.9,3.49,0.11,0.35,0.23,0.12,0.06,0.04,0.1,97.6,101.0,95.28301886792453,7934153.0,408343165.0,77.9,0.764,879.0,292.0,34.0,280.0,272.0,1.0,133202.0,95435.0,19196.0,9985.0,3002.0,1298.0,4286.0,29.0,11231.0,8319.0,2912.0,2985.0,2045.0,940.0,352.0,201.0,151.0,7894.0,6073.0,1821.0,91033.0,9916.0,1820.0,6337.0,1759.0,1976.0,10031.0,1020.0,17359.0,133305.0,58154.0,30174.0,23400.0,17060.0,3473.0,775.0,187.0,54.0,18.0,10.0,87.55,86.83,63.65,12.72,13.36,43.8,43.0,44.5,7.0,7164.0,5071.0,194.0,607.0,478.0,814.0,2235050.0,466200.0,780452.0,81914.0,893429.0,105.0,9796.0,3154.0,119.0,999.0,1118.0
2021,성북구,440142.0,14.61,29.73,31.39,20.35,3.92,0.15,0.37,0.23,0.11,0.05,0.03,0.06,92.9,119.0,92.96875,11633145.0,612910060.0,86.9,0.656,1097.0,532.0,49.0,372.0,143.0,0.0,180259.0,143006.0,16445.0,13755.0,625.0,17.0,6411.0,26.0,18225.0,13151.0,5074.0,4725.0,3151.0,1574.0,698.0,394.0,304.0,12802.0,9606.0,3196.0,140138.0,21661.0,9240.0,9476.0,2945.0,6230.0,29900.0,1380.0,17909.0,197082.0,82026.0,44110.0,34810.0,28171.0,6184.0,1341.0,304.0,81.0,25.0,30.0,85.69,84.92,62.81,13.11,12.61,44.0,43.0,44.8,13.0,7384.0,5286.0,262.0,554.0,396.0,886.0,1497475.0,651072.0,539292.0,178985.0,102550.0,39.0,12210.0,13326.0,32.0,804.0,836.0
2021,송파구,663965.0,16.03,30.05,31.79,19.47,2.66,0.09,0.3,0.25,0.13,0.07,0.04,0.12,96.1,126.0,92.64705882352942,17664513.0,872561429.0,208.5,0.623,2701.0,927.0,6.0,1356.0,217.0,195.0,221910.0,121902.0,38271.0,30878.0,45.0,958.0,29856.0,92.0,18741.0,14618.0,4123.0,4186.0,2950.0,1236.0,383.0,218.0,165.0,14172.0,11450.0,2722.0,215731.0,7791.0,427.0,5478.0,1886.0,4720.0,70238.0,1495.0,19599.0,284853.0,105192.0,63757.0,54740.0,47986.0,10283.0,2193.0,490.0,139.0,46.0,27.0,84.77,83.98,60.72,10.88,12.29,42.6,42.0,43.2,12.0,15892.0,10408.0,387.0,1646.0,524.0,2927.0,3084332.0,1015971.0,1733513.0,67856.0,215591.0,2749.0,16790.0,31863.0,108.0,2374.0,2482.0
2021,양천구,450487.0,17.59,25.36,34.2,19.93,2.91,0.11,0.32,0.24,0.12,0.06,0.04,0.11,97.0,107.0,92.24137931034484,12022162.0,609558501.0,89.0,0.645,1562.0,481.0,5.0,334.0,466.0,276.0,165203.0,78932.0,13443.0,6243.0,159.0,44856.0,21570.0,47.0,15131.0,11571.0,3560.0,4680.0,3205.0,1475.0,558.0,291.0,267.0,9893.0,8075.0,1818.0,145843.0,7597.0,600.0,5237.0,1760.0,3954.0,41185.0,829.0,25882.0,181187.0,57835.0,41944.0,37864.0,34706.0,7045.0,1353.0,283.0,98.0,33.0,26.0,85.93,85.12,62.13,12.03,12.47,43.4,42.4,44.3,10.0,6562.0,4644.0,240.0,693.0,293.0,692.0,1797687.0,671978.0,1021048.0,36973.0,44439.0,179.0,11234.0,11835.0,27.0,819.0,846.0
2021,영등포구,400908.0,12.67,33.44,31.02,19.47,3.4,0.12,0.38,0.23,0.11,0.06,0.03,0.08,96.6,145.0,92.35668789808918,10723816.0,573694103.0,136.5,0.713,2146.0,602.0,10.0,438.0,415.0,680.0,178521.0,112126.0,36138.0,27497.0,2211.0,549.0,0.0,81.0,15208.0,11129.0,4079.0,3455.0,2548.0,907.0,427.0,217.0,210.0,11326.0,8364.0,2962.0,110396.0,14054.0,2058.0,9647.0,2349.0,1501.0,16134.0,1157.0,16331.0,188832.0,93450.0,39405.0,28494.0,21570.0,4619.0,964.0,216.0,77.0,17.0,20.0,90.78,90.01,66.58,13.6,13.36,43.4,43.0,43.9,5.0,13366.0,9509.0,332.0,806.0,749.0,1970.0,2782101.0,659899.0,1785993.0,27381.0,225352.0,25.0,13816.0,69635.0,85.0,1708.0,1793.0
