DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,SEND_CTGG_NM,SEND_CTGG_CD,REC_CTPV_NM,REC_CTPV_CD,REC_CTGG_NM,REC_CTGG_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230604,서울특별시,11,강동구,11740,서울특별시,11,종로구,11110,0,0,0,0,0,0,8,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,중구,11140,0,0,0,0,0,0,7,0,3,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,용산구,11170,0,0,0,0,0,0,12,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,성동구,11200,0,0,0,0,0,0,13,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,광진구,11215,0,0,0,0,0,0,18,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,동대문구,11230,0,0,0,0,0,0,12,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,중랑구,11260,0,0,0,0,0,0,15,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,성북구,11290,0,0,0,0,0,0,15,0,3,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,강북구,11305,0,0,0,0,0,0,5,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,도봉구,11320,0,0,0,0,0,0,3,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,노원구,11350,0,0,0,0,0,0,12,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,은평구,11380,0,0,0,0,0,0,7,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,서대문구,11410,0,0,0,0,0,0,22,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,마포구,11440,0,0,0,0,0,0,19,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,양천구,11470,0,0,0,0,0,0,13,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,강서구,11500,0,0,0,0,0,0,18,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,구로구,11530,0,0,0,0,0,0,19,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,금천구,11545,0,0,0,0,0,0,11,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,영등포구,11560,0,0,0,0,0,0,17,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,동작구,11590,0,0,0,0,0,0,14,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,관악구,11620,0,0,0,0,0,0,25,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,서초구,11650,0,0,0,0,0,0,39,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,강남구,11680,0,0,0,0,0,0,33,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,송파구,11710,0,0,0,0,0,0,20,0,0,0,0
20230604,서울특별시,11,강동구,11740,서울특별시,11,강동구,11740,0,0,0,0,0,0,17,0,0,0,0
20230619,서울특별시,11,양천구,11470,서울특별시,11,종로구,11110,4,21,6,8,22,4,10,0,31,14,12
20230619,서울특별시,11,양천구,11470,서울특별시,11,중구,11140,0,21,0,18,27,7,5,0,49,22,10
