DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,REC_CTPV_NM,REC_CTPV_CD,REC_CTGG_NM,REC_CTGG_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230416,인천광역시,28.0,서울특별시,11.0,종로구,11110.0,0.0,12.0,6.0,8.0,14.0,3.0,83.0,0.0,26.0,38.0,15.0
20230416,인천광역시,28.0,서울특별시,11.0,중구,11140.0,0.0,16.0,3.0,7.0,20.0,4.0,71.0,4.0,17.0,30.0,12.0
20230416,인천광역시,28.0,서울특별시,11.0,용산구,11170.0,4.0,16.0,6.0,4.0,30.0,4.0,124.0,7.0,28.0,34.0,24.0
20230416,인천광역시,28.0,서울특별시,11.0,성동구,11200.0,4.0,21.0,0.0,7.0,21.0,5.0,132.0,11.0,36.0,40.0,19.0
20230416,인천광역시,28.0,서울특별시,11.0,광진구,11215.0,9.0,9.0,0.0,0.0,21.0,0.0,146.0,4.0,50.0,56.0,16.0
20230416,인천광역시,28.0,서울특별시,11.0,동대문구,11230.0,5.0,15.0,0.0,0.0,32.0,5.0,97.0,6.0,35.0,35.0,16.0
20230416,인천광역시,28.0,서울특별시,11.0,중랑구,11260.0,3.0,13.0,0.0,4.0,12.0,0.0,99.0,5.0,34.0,60.0,13.0
20230416,인천광역시,28.0,서울특별시,11.0,성북구,11290.0,3.0,14.0,0.0,0.0,26.0,5.0,157.0,10.0,42.0,62.0,16.0
20230416,인천광역시,28.0,서울특별시,11.0,강북구,11305.0,4.0,7.0,0.0,4.0,16.0,3.0,74.0,9.0,26.0,56.0,10.0
20230416,인천광역시,28.0,서울특별시,11.0,도봉구,11320.0,0.0,8.0,0.0,7.0,9.0,3.0,72.0,8.0,23.0,31.0,8.0
20230416,인천광역시,28.0,서울특별시,11.0,노원구,11350.0,6.0,13.0,3.0,6.0,16.0,0.0,151.0,8.0,38.0,51.0,16.0
20230416,인천광역시,28.0,서울특별시,11.0,은평구,11380.0,5.0,18.0,0.0,0.0,29.0,3.0,137.0,6.0,44.0,40.0,18.0
20230416,인천광역시,28.0,서울특별시,11.0,서대문구,11410.0,5.0,7.0,6.0,9.0,30.0,4.0,117.0,8.0,44.0,34.0,17.0
20230416,인천광역시,28.0,서울특별시,11.0,마포구,11440.0,3.0,22.0,0.0,4.0,45.0,5.0,206.0,11.0,53.0,60.0,23.0
20230416,인천광역시,28.0,서울특별시,11.0,양천구,11470.0,5.0,7.0,5.0,7.0,35.0,5.0,142.0,9.0,45.0,56.0,22.0
20230416,인천광역시,28.0,서울특별시,11.0,강서구,11500.0,10.0,11.0,3.0,6.0,27.0,0.0,245.0,10.0,60.0,57.0,19.0
20230416,인천광역시,28.0,서울특별시,11.0,구로구,11530.0,0.0,12.0,6.0,4.0,21.0,0.0,130.0,7.0,44.0,35.0,15.0
20230416,인천광역시,28.0,서울특별시,11.0,금천구,11545.0,3.0,14.0,0.0,6.0,10.0,0.0,95.0,4.0,19.0,27.0,10.0
20230416,인천광역시,28.0,서울특별시,11.0,영등포구,11560.0,7.0,15.0,0.0,4.0,31.0,9.0,152.0,12.0,45.0,43.0,17.0
20230416,인천광역시,28.0,서울특별시,11.0,동작구,11590.0,0.0,18.0,0.0,4.0,36.0,6.0,149.0,10.0,28.0,92.0,26.0
20230416,인천광역시,28.0,서울특별시,11.0,관악구,11620.0,10.0,12.0,0.0,6.0,29.0,9.0,197.0,8.0,45.0,50.0,27.0
20230416,인천광역시,28.0,서울특별시,11.0,서초구,11650.0,6.0,28.0,5.0,5.0,41.0,4.0,244.0,7.0,53.0,73.0,29.0
20230416,인천광역시,28.0,서울특별시,11.0,강남구,11680.0,15.0,38.0,8.0,9.0,61.0,7.0,326.0,11.0,77.0,106.0,42.0
20230416,인천광역시,28.0,서울특별시,11.0,송파구,11710.0,6.0,34.0,3.0,8.0,39.0,8.0,284.0,11.0,59.0,96.0,32.0
20230416,인천광역시,28.0,서울특별시,11.0,강동구,11740.0,7.0,12.0,5.0,4.0,21.0,4.0,138.0,5.0,45.0,60.0,20.0
20230422,전라북도,45.0,서울특별시,11.0,종로구,11110.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,3.0
20230422,전라북도,45.0,서울특별시,11.0,중구,11140.0,0.0,8.0,0.0,3.0,8.0,0.0,0.0,0.0,48.0,17.0,0.0
20230422,전라북도,45.0,서울특별시,11.0,용산구,11170.0,0.0,10.0,3.0,10.0,3.0,0.0,0.0,0.0,19.0,5.0,0.0
20230422,전라북도,45.0,서울특별시,11.0,성동구,11200.0,0.0,18.0,5.0,4.0,0.0,0.0,0.0,0.0,69.0,9.0,3.0
20230422,전라북도,45.0,서울특별시,11.0,광진구,11215.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,35.0,0.0,5.0
20230422,전라북도,45.0,서울특별시,11.0,동대문구,11230.0,0.0,18.0,0.0,4.0,6.0,0.0,5.0,0.0,34.0,4.0,0.0
