지역,합계,20대 미만 비율,20-30대 비율,40-50대 비율,60-70대 비율,80대 이상 비율
종로구,151127,11.26,31.99,30.03,21.65,5.07
중구,131825,9.93,33.41,29.33,22.41,4.92
용산구,230692,12.0,32.32,31.0,20.12,4.55
성동구,285543,12.58,32.05,30.53,20.79,4.04
광진구,351959,11.71,35.26,29.68,19.87,3.49
동대문구,359113,11.81,33.62,28.66,21.54,4.37
중랑구,387940,11.4,28.57,30.86,24.89,4.28
성북구,440089,13.91,29.75,31.0,20.89,4.45
강북구,294804,10.78,26.12,31.13,26.44,5.53
도봉구,310133,12.03,24.84,31.48,26.38,5.28
노원구,504423,14.86,25.97,32.36,22.35,4.45
은평구,471155,12.91,27.61,31.75,23.08,4.64
서대문구,321379,12.85,32.36,29.67,20.46,4.66
마포구,375639,12.93,34.76,30.62,17.74,3.94
양천구,440591,16.76,24.46,33.82,21.6,3.35
강서구,569978,13.0,31.5,30.1,21.81,3.59
구로구,416815,12.84,28.41,31.56,23.29,3.89
금천구,242076,10.12,31.74,30.6,23.72,3.82
영등포구,398290,12.0,33.62,30.15,20.36,3.87
동작구,390740,12.2,33.39,29.33,20.97,4.12
관악구,500582,8.72,41.21,26.41,19.92,3.74
서초구,410766,17.82,26.51,33.65,18.73,3.28
강남구,546291,17.33,27.34,33.73,18.48,3.12
송파구,661515,15.42,29.2,31.72,20.66,3.01
강동구,462453,15.2,27.43,31.63,22.5,3.24
