지역,합계,20대 미만 비율,20-30대 비율,40-50대 비율,60-70대 비율,80대 이상 비율
종로구,153789,11.85,31.22,31.18,21.09,4.65
중구,131787,10.46,32.77,30.37,21.97,4.43
용산구,237285,12.58,32.2,31.53,19.42,4.27
성동구,292672,13.2,32.24,31.16,19.9,3.49
광진구,352627,12.41,35.03,30.54,18.95,3.07
동대문구,352006,12.34,33.07,29.33,21.37,3.9
중랑구,391885,12.05,28.94,31.81,23.52,3.67
성북구,440142,14.61,29.73,31.39,20.35,3.92
강북구,302563,11.63,26.43,31.94,25.36,4.64
도봉구,319373,12.99,25.63,32.18,24.72,4.47
노원구,514946,15.79,26.36,32.94,21.01,3.89
은평구,477173,13.67,28.09,32.0,22.19,4.04
서대문구,315659,13.42,31.8,30.32,20.17,4.28
마포구,378686,13.78,34.66,30.85,17.2,3.5
양천구,450487,17.59,25.36,34.2,19.93,2.91
강서구,579768,13.9,32.06,30.32,20.57,3.14
구로구,421163,13.67,28.77,32.34,21.91,3.31
금천구,244891,11.07,31.57,32.06,22.07,3.23
영등포구,400908,12.67,33.44,31.02,19.47,3.4
동작구,394364,12.84,33.07,29.93,20.49,3.68
관악구,499449,9.61,40.06,27.55,19.59,3.19
서초구,416167,18.44,27.24,33.4,18.03,2.9
강남구,537800,17.51,28.14,33.65,17.91,2.78
송파구,663965,16.03,30.05,31.79,19.47,2.66
강동구,466472,15.75,28.55,31.77,21.1,2.83
